Case_id;Replayed;Model_Fitness_Initial;Alignment_Fitness_Initial;Model_Fitness_Final;Alignment_Fitness_Final;Time;|Alignment| Initial;|Alignment| Final;|Trace|;|Parikh_Trace|;|Model's Move|;Alignment
631117870|;1;0,6;0,2;0,6;0,2;0,019052982330322;10;9;7;5;5;[L]Accepted|[L]Accepted|[M]tau*split|[L/M]Accepted|[L]Queued|[L/M]Queued|[L]Accepted|[L/M]Completed|[M]tau*join|
636931254|;1;0,6;0,076923076923077;0,6;0,076923076923077;0,025706052780151;21;21;19;5;5;[L]Accepted|[L]Accepted|[L]Accepted|[L]Queued|[L]Accepted|[L]Queued|[L]Accepted|[L]Completed|[M]tau*split|[L/M]Accepted|[L/M]Queued|[L]Accepted|[L]Accepted|[L]Completed|[L]Accepted|[L]Accepted|[L]Accepted|[L/M]Completed|[L]Accepted|[L]Completed|[M]tau*join|
638091067|;1;0,6;0,176470588235294;0,6;0,176470588235294;0,019428014755249;11;10;8;5;5;[L]Accepted|[L]Completed|[L]Accepted|[M]tau*split|[L/M]Accepted|[L/M]Queued|[L]Accepted|[L]Accepted|[L/M]Completed|[M]tau*join|
640387614|;1;0,4;0,166666666666667;0,4;0,166666666666667;0,015882968902588;7;7;4;5;5;[L]Accepted|[M]tau*split|[L/M]Accepted|[L/M]Queued|[M]tau*from*tree|[L]Queued|[M]tau*join|
647841758,691093464|;1;0,6;0,333333333333333;0,6;0,333333333333333;0,017213106155396;8;6;4;5;5;[M]tau*split|[L/M]Accepted|[L/M]Completed|[L]Accepted|[L/M]Queued|[M]tau*join|
653989471,745995763|;1;0,4;0,2;0,4;0,2;0,018697023391724;7;6;3;5;5;[M]tau*split|[L/M]Queued|[L/M]Accepted|[M]tau*from*tree|[L]Accepted|[M]tau*join|
669119156,688280019|;1;0,4;0,142857142857143;0,4;0,142857142857143;0,019979953765869;9;8;5;5;5;[L]Queued|[M]tau*split|[L/M]Accepted|[L]Accepted|[M]Queued|[L]Accepted|[L/M]Completed|[M]tau*join|
688380091|;1;0,4;0,111111111111111;0,4;0,111111111111111;0,01781702041626;10;10;7;5;5;[L]Accepted|[M]tau*split|[L/M]Accepted|[L/M]Queued|[L]Accepted|[L]Accepted|[L]Accepted|[M]tau*from*tree|[L]Accepted|[M]tau*join|
689469104|;1;0,6;0,272727272727273;0,6;0,272727272727273;0,017625093460083;9;7;5;5;5;[L]Queued|[L]Queued|[M]tau*split|[L/M]Queued|[L/M]Accepted|[L/M]Completed|[M]tau*join|
690762471|;1;0,2;0,090909090909091;0,2;0,090909090909091;0,014086008071899;6;6;2;5;5;[M]tau*split|[M]Accepted|[L/M]Queued|[M]tau*from*tree|[L]Queued|[M]tau*join|
694222066,704650867|;1;0,6;0,2;0,6;0,2;0,017833948135376;10;9;7;5;5;[L]Accepted|[L]Queued|[M]tau*split|[L/M]Accepted|[L/M]Queued|[L]Accepted|[L]Accepted|[L/M]Completed|[M]tau*join|
